Type,Name,Header
Talk,T1,./generated_talks.html#t1-an-exocyst-component-zmexo70f4-coordinates-with-jasmonate-signaling-pathway-to-regulate-maize-immunity-to-gibberella-stalk-rot
Talk,T2,./generated_talks.html#t2-crazy-leaves-and-truffula-trees
Talk,T3,./generated_talks.html#t3-a-thiamin-pyrophosphate-kinase-encoding-gene-zmtdpk2-finely-regulates-ear-length-and-grain-yield-in-maize
Talk,T4,./generated_talks.html#t4-a-novel-domestication-gene-establishes-developmental-boundaries
Talk,T5,./generated_talks.html#t5-leaf-angle-and-curricular-innovation-a-cure-for-research-and-undergraduate
Talk,T6,"./generated_talks.html#t6-optimized-zmwox2a-based-transformation-system-enhances-somatic-embryogenesis,-transformation-efficiency-and-gene-editing-efficiency-in-maize-zea-mays-l-and-sorghum-sorghum-bicolor-l"
Talk,T7,./generated_talks.html#t7-harnessing-ai-for-agricultural-innovation
Talk,T8,./generated_talks.html#t8-a-practical-haplotype-graph-map-of-the-zeasynthetic-population-enables-integration-of-teosinte-alleles-into-breeding-efforts
Talk,T9,./generated_talks.html#t9-cyto-swapping-in-maize-by-haploid-induction-with-a-cenh3-mutant
Talk,T10,./generated_talks.html#t10-a-foundational-large-language-model-for-edible-plant-genomes-provides-accurate-predictions-of-regulatory-elements-and-gene-expression-in-the-maize-genome
Talk,T11,./generated_talks.html#t11-biological-nitrogen-gixation-on-the-aerial-roots-of-maize-for-sustainable-agriculture
Talk,T12,./generated_talks.html#t12-decoding-nitrogen-use-efficiency-in-maize-and-sorghum-insights-from-comparative-gene-regulatory-networks-for-sustainable-agriculture
Talk,T13,./generated_talks.html#t13-the-nitrogen-cycle-in-the-rhizosphere-of-diverse-grass-species-in-andropogoneae
Talk,T14,./generated_talks.html#t14-genomic-structural-variation-underlies-differential-root-responses-to-nitrogen-stress-in-maize
Talk,T15,./generated_talks.html#t15-mining-ancient-genomes-for-microbiome-associated-phenotypes-for-nutrient-retention-in-agroecosystems
Talk,T16,./generated_talks.html#t16-teosinte-pollen-drive-guides-maize-diversification-and-domestication-by-rnai
Talk,T17,./generated_talks.html#t17-how-recombination-facilitated-the-domestication-of-maize
Talk,T18,./generated_talks.html#t18-maize-development-is-controlled-by-an-ancient-nutrient-signaling-pathway
Talk,T19,./generated_talks.html#t19-fractionation-in-the-tripsacinae-subtribe
Talk,T20,"./generated_talks.html#t20-zmira1,-a-new-root-system-architecture-gene-identified-by-phenomics"
Talk,T21,./generated_talks.html#t21-genetic-and-environmental-impacts-on-the-maize-microbiome-across-the-united-states
Talk,T22,./generated_talks.html#t22-exploring-the-cis-regulatory-landscape-of-the-b73-and-mo17-genomes
Talk,T23,./generated_talks.html#t23-understanding-the-role-of-zmwus1-and-cis-regulatory-elements-in-maize-inflorescence-development-at-single-cell-resolution
Talk,T24,./generated_talks.html#t24-integrating-single-cell-transcriptomes-links-organ-specific-gene-expression-with-function
Talk,T25,./generated_talks.html#t25-meiotic-recombination-differs-between-sexes-in-maize
Talk,T26,./generated_talks.html#t26-x1-encodes-a-putative-rna-binding-protein-required-for-paramutations-at-multiple-loci
Talk,T27,./generated_talks.html#t27-strigolactone-control-of-iron-homeostasis-in-maize
Talk,T28,./generated_talks.html#t28-upper-level-and-cross-hierarchical-regulation-of-predominantly-expressed-phenolic-genes-in-maize
Talk,T29,./generated_talks.html#t29-elucidating-the-metabolomic-and-single-cell-transcriptomic-landscape-of-maize-leaf-senescence
Talk,T30,./generated_talks.html#t30-potent-pollen-gene-regulation-by-dna-glycosylases-in-maize
Poster,P1,./generated_poster_list.html#p1-annotation-of-gene-metabolite-functional-relationships-using-multi-omics-mapping-of-the-sorghum-bioenergy-association-panel
Poster,P2,./generated_poster_list.html#p2-autoimmune-mutants-reveal-new-immunity-pathways-in-maize
Poster,P3,./generated_poster_list.html#p3-challenges-and-insights-from-establishing-a-maize-transformation-laboratory
Poster,P4,./generated_poster_list.html#p4-changes-in-sorbitol-metabolism-impact-kernel-sink-strength-and-seed-size
Poster,P5,./generated_poster_list.html#p5-characterization-of-the-maize-membrane-lipidome-in-a-large-collection-of-introgression-lines-derived-from-crosses-between-b73-and-traditional-maize-varieties-and-teosintes
Poster,P6,./generated_poster_list.html#p6-characterizing-expression-of-meristem-genes-in-a-lig5-maize-mutant
Poster,P7,./generated_poster_list.html#p7-comparative-study-of-approaches-for-gene-activation-in-maize
Poster,P8,./generated_poster_list.html#p8-delving-into-the-biochemical-underpinnings-of-disease-resistance-for-southern-leaf-blight-in-maize
Poster,P9,./generated_poster_list.html#p9-disruption-of-allene-oxide-cyclase-results-in-jasmonic-acid-deficiency-despite-incomplete-loss-of-12-opda
Poster,P10,./generated_poster_list.html#p10-elucidating-freezing-tolerance-in-tripsacum-insights-from-combined-transcriptome-and-proteome
Poster,P11,./generated_poster_list.html#p11-empirical-assessment-of-the-wisconsin-crop-innovation-center-high-throughput-maize-gene-editing-pipeline
Poster,P12,./generated_poster_list.html#p12-engineering-a-terpene-depleted-chassis-in-tomato-fruit-for-production-of-high-value-terpenes
Poster,P13,./generated_poster_list.html#p13-engineering-root-n-remobilization-after-grain-filling-to-decrease-greenhouse-gas-emissions-and-n-leaching-in-corn-agriculture
Poster,P14,./generated_poster_list.html#p14-exploring-the-genetics-of-drought-resilience-in-sorghum
Poster,P15,./generated_poster_list.html#p15-finding-a-high-throughput-dna-extraction-method-for-maize
Poster,P16,./generated_poster_list.html#p16-functional-genomics-of-coordinated-nitrogen-and-phosphorous-signaling-in-maize
Poster,P17,./generated_poster_list.html#p17-grassius-20-knowledgebase-updated-resources-and-tools-for-regulomics-in-the-grasses
Poster,P18,./generated_poster_list.html#p18-gene-editing-of-two-maize-chalcone-synthase-paralogs-results-in-conditional-male-sterility
Poster,P19,./generated_poster_list.html#p19-gene-expression-identifies-a-role-of-maize-ortholog-of-dwarf-and-low-tillering-gras42-in-brassinosteroid-signaling
Poster,P20,./generated_poster_list.html#p20-genetic-architecture-of-stalk-lodging-resistance-in-maize
Poster,P21,./generated_poster_list.html#p21-genetic-interaction-analysis-of-maize-meristem-regulators
Poster,P22,./generated_poster_list.html#p22-glossy2-and-glossy2-like-demonstrate-both-unique-and-overlapping-functions-in-maize-cuticular-wax-formation
Poster,P23,./generated_poster_list.html#p23-high-sensitivity-transcriptional-profiling-of-maize-root-tips-via-nascent-and-nuclear-rna-sequencing
Poster,P24,./generated_poster_list.html#p24-identification-of-genes-associated-with-phenolic-metabolism
Poster,P25,./generated_poster_list.html#p25-identifying-physiologically-relevant-transcriptional-regulatory-mechanisms-in-tetrapyrrole-biosynthesis-using-natural-and-induced-variation-in-mg2+-chelatase-in-maize
Poster,P26,./generated_poster_list.html#p26-identifying-the-functional-determinants-of-zmehd1---a-putative-maize-flowering-time-activator-using-a-protoplast-system
Poster,P27,./generated_poster_list.html#p27-improving-transformation-and-regeneration-of-tropical-inbred-lines-using-calcium-channel-blockers
Poster,P28,./generated_poster_list.html#p28-inoculation-effect-of-phosphate-solubilizing-bacteria-on-the-microbiota-of-maize-cultivated-under-different-phosphate-fertilization-conditions
Poster,P29,./generated_poster_list.html#p29-insights-into-genomic-regions-associated-with-resistance-and-susceptibility-to-gibberella-ear-rot
Poster,P30,./generated_poster_list.html#p30-integration-of-proteomics-and-phosphoproteomics-provides-insight-into-the-protein-bound-amino-acid-regulation-in-the-opaque2-mutant
Poster,P31,"./generated_poster_list.html#p31-introgression-of-a-highland-maize-chromosomal-inversion-decreases-flowering-time-in-a-phosphorus-independent-manner,-and-leads-to-minor-perturbations-of-the-leaf-phosphorus-starvation-response-transcriptome"
Poster,P32,./generated_poster_list.html#p32-investigating-the-expression-regulation-and-enzymatic-activity-of-the-adaptive-gene-hpc1
Poster,P33,"./generated_poster_list.html#p33-investigating-the-maize-systemic-disease-response-to-the-southern-leaf-blight-pathogen,-cochliobolus-heterostrophus"
Poster,P34,./generated_poster_list.html#p34-investigating-the-mechanism-of-h3k27me3-mediated-gene-regulation-in-plants
Poster,P35,./generated_poster_list.html#p35-investigation-of-tissue-specific-translation-regulation-by-uorfs-in-maize
Poster,P36,./generated_poster_list.html#p36-moa-seq-identifies-candidate-cis-elements-associated-with-response-to-submergence
Poster,P37,./generated_poster_list.html#p37-maize-cytoplasm-genotype-is-a-key-determinant-of-transformability
Poster,P38,./generated_poster_list.html#p38-maize-terpene-synthase-1-impacts-insect-pest-behavior-via-the-production-of-monoterpene-volatiles-β-myrcene-and-linalool
Poster,P39,./generated_poster_list.html#p39-maize-specific-lox4-and-lox5-genes-subfunctionalize-to-play-contrasting-roles-in-defense-against-necrotrophic-and-hemibiotrophic-pathogens
Poster,P40,./generated_poster_list.html#p40-maize-rough-endosperm6-rgh6-encodes-a-predicted-dead-box-rna-helicase-and-affects-mirna-processing-in-endosperm-development
Poster,P41,./generated_poster_list.html#p41-maize-rough-endosperm6-rgh6-encodes-a-predicted-dead-box-rna-helicase-and-affects-mirna-processing-in-endosperm-development
Poster,P42,./generated_poster_list.html#p42-minus-directed-kinesin-allows-chromosome-10-haplotypes-to-compete
Poster,P43,./generated_poster_list.html#p43-modular-base-editing
Poster,P44,./generated_poster_list.html#p44-molecular-identification-of-two-mu-suppressible-alleles-of-lesion28-as-insertions-in-uroporphyrinogen-iii-synthase
Poster,P45,./generated_poster_list.html#p45-natural-variation-in-maize-root-hydraulic-architecture-may-offer-new-insights-into-plant-drought-responses
Poster,P46,"./generated_poster_list.html#p46-nutritional-and-biophysical-characteristics-of-crispr-generated-low-kafirin,-waxy-sorghum"
Poster,P47,./generated_poster_list.html#p47-phenotyping-transgenic-events-for-drought-resistance
Poster,P48,./generated_poster_list.html#p48-proteomic-and-metabolomic-landscape-of-the-arbuscular-mycorrhizal-symbiosis-in-maize-roots
Poster,P49,./generated_poster_list.html#p49-pseudomonas-syringae-pv-tomato-dc3000-induces-defense-responses-in-diverse-maize-inbred-lines
Poster,P50,./generated_poster_list.html#p50-roles-of-rel2-mediated-transcriptional-co-repression-in-maize-immunity
Poster,P51,./generated_poster_list.html#p51-roles-of-vacuolar-invertase-genes-ivr1-&-ivr2-in-the-pollination-biology-of-maize
Poster,P52,./generated_poster_list.html#p52-site-directed-integration-of-microbial-hemg-type-protoporphyrinogen-ix-oxidase-ppo-at-a-target-site-in-corn-genome-creates-tolerance-to-ppo-inhibiting-herbicides
Poster,P53,./generated_poster_list.html#p53-systematic-exploration-of-transcription-factor-function-in-maize
Poster,P54,"./generated_poster_list.html#p54-tar-spot-and-fisheye-lesions-exhibit-distinct-yet-overlapping-transcriptomic-signatures,-suggesting-a-complex-interplay-of-shared-and-specific-pathways-modulated-by-phyllachora-maydis"
Poster,P55,./generated_poster_list.html#p55-targeting-meiotic-crossovers-in-maize
Poster,P56,./generated_poster_list.html#p56-the-maize-e3-ligase-zmcer9-specifically-targets-activated-nlrs-for-degradation
Poster,P57,./generated_poster_list.html#p57-transcriptomic-variation-during-kernel-development-in-near-isogenic-purple-maize-cultivars
Poster,P58,./generated_poster_list.html#p58-transformation-of-fast-flowering-mini-maize-ffmm
Poster,P59,./generated_poster_list.html#p59-unlocking-meiotic-recombination-in-the-maize-genome
Poster,P60,./generated_poster_list.html#p60-a-knox-blh-homeodomain-complex-targets-a-major-domestication-locus
Poster,P61,./generated_poster_list.html#p61-a-nuclear-moonlighting-function-of-maize-trehalose-6-phosphate-phosphatase-in-inflorescence-branching
Poster,P62,./generated_poster_list.html#p62-a-regulatory-module-of-little-zipper-and-rolled-leaf1/revoluta-controls-ligule-development-in-maize
Poster,P63,./generated_poster_list.html#p63-a-spatial-transcriptome-map-of-the-developing-maize-ear
Poster,P64,./generated_poster_list.html#p64-analysis-of-pistachio-root-proteome-to-salt-stress
Poster,P65,./generated_poster_list.html#p65-automated-image-analysis-of-maize-pollen-for-phenotypic-measurements
Poster,P66,./generated_poster_list.html#p66-catalytic-and-non-catalytic-trehalose-6-phosphate-synthases-zmtpss-interact-with-ramosa3-to-control-embryo-and-post-embryo-development
Poster,P67,./generated_poster_list.html#p67-cause-and-consequences-of-abnormal-meiosis-ii-division-in-bige7-heterozygotes
Poster,P68,./generated_poster_list.html#p68-characterizing-the-phenotypic-rescue-of-d-erythrose-in-salt-stressed-maize-and-its-role-in-stress-response-regulation-and-development
Poster,P69,"./generated_poster_list.html#p69-cloning-the-classic-maize-metaxylem-mutant,-wilted1-wi1-by-chromosome-walking-and-rna-sequencing"
Poster,P70,./generated_poster_list.html#p70-comparison-of-dna-replication-timing-profiles-between-b73-and-nc350-maize-lines
Poster,P71,./generated_poster_list.html#p71-coupling-computer-vision-with-spatial-analysis-of-cell-patterning-allows-the-genetic-basis-for-stomatal-density-to-be-dissected-into-component-traits-related-to-known-developmental-mechanisms-in-maize
Poster,P72,./generated_poster_list.html#p72-crosstalk-between-auxin-and-jasmonic-acid-in-maize-root-development
Poster,P73,./generated_poster_list.html#p73-defining-the-gene-regulatory-networks-of-bhlh122-and-bhlh51-in-maize-anther-development
Poster,P74,./generated_poster_list.html#p74-determining-the-impact-of-plant-architecture-on-lifespan-stalk-flexural-stiffness
Poster,P75,./generated_poster_list.html#p75-development-of-a-lineage-tracing-line-for-maize-brace-root-developmental-studies
Poster,P76,./generated_poster_list.html#p76-development-of-an-accessible-and-scalable-maize-pollen-storage-technology
Poster,P77,./generated_poster_list.html#p77-developmental-genetics-and-genomics-of-perennial-regrowth-in-zea-diploperennis
Poster,P78,./generated_poster_list.html#p78-drawing-the-line-interactions-of-maize-transcription-factors-to-coordinate-proximodistal-and-mediolateral-patterning-in-the-maize-leaf
Poster,P79,./generated_poster_list.html#p79-elucidating-the-role-of-terminal-ear1-te1-in-maize-development-and-stress
Poster,P80,./generated_poster_list.html#p80-engineering-dominant-maize-yield-component-improvement-with-gene-editing
Poster,P81,./generated_poster_list.html#p81-functional-and-genetic-analysis-of-alternatively-spliced-transcript-isoforms-of-a-conserved-rna-binding-motif-protein-48-rbm48-essential-for-the-splicing-of-u12-type-introns
Poster,P82,./generated_poster_list.html#p82-functional-characterization-of-maize-nitrogen-transporters
Poster,P83,./generated_poster_list.html#p83-genetic-regulation-of-self-organizing-azimuthal-canopy-orientations-and-their-impacts-on-light-interception-in-maize
Poster,P84,./generated_poster_list.html#p84-growth-hormones-br-and-ga-modulate-spikelet-meristem-identity-through-the-ramosa1-pathway-in-setaria-and-maize
Poster,P85,./generated_poster_list.html#p85-heat-stress-at-the-bicellular-stage-inhibits-sperm-cell-development-and-their-transport-into-pollen-tubes
Poster,P86,./generated_poster_list.html#p86-heat-stress-induced-pollen-tube-growth-arrest-and-sterility-supported-by-a-maizestressdb
Poster,P87,./generated_poster_list.html#p87-herbicide-safener-metcamifen-significantly-improves-the-recovery-of-doubled-haploid-maize-seedlings-via-in-vitro-culture
Poster,P88,./generated_poster_list.html#p88-high-throughput-root-phenotyping-to-investigate-phenotypic-relationships-between-early-auxin-response-and-adult-crown-root-phenotyping
Poster,P89,./generated_poster_list.html#p89-individual-and-collective-tissue-specific-roles-of-brassinosteroid-insensitive1-bri1-receptor-like-kinase-to-plant-development-and-br-signaling-in-maize
Poster,P90,./generated_poster_list.html#p90-investigating-links-between-pectin-dynamics-and-meristem-activity-in-maize
Poster,P91,./generated_poster_list.html#p91-investigating-the-effect-of-environmental-stress-on-metabolite-localization-and-signaling-in-plants
Poster,P92,./generated_poster_list.html#p92-investigating-the-role-of-higher-wox3-transcription-factors-during-robust-patterning-of-leaf-margin-orientation-and-tassel-spikelet-development
Poster,P93,./generated_poster_list.html#p93-is-more-always-better?-progress-and-promise-of-autotetraploid-sweet-sorghum
Poster,P94,./generated_poster_list.html#p94-k-means-clustering-analysis-of-gene-expression-across-endosperm-development
Poster,P95,./generated_poster_list.html#p95-katanin’s-role-in-cell-division-positioning-and-cell-elongation-in-maize
Poster,P96,./generated_poster_list.html#p96-large-scale-single-cell-profiling-of-stem-cells-uncovers-regulators-of-plant-shoot-development
Poster,P97,./generated_poster_list.html#p97-linking-brace-root-development-to-function
Poster,P98,./generated_poster_list.html#p98-maize-ethylene-insensitive3-like-genes-are-central-regulators-of-shoot-growth
Poster,P99,./generated_poster_list.html#p99-maize-developmental-transcription-factors-affect-and-interact-with-aberrant-phyllotaxy1-in-regulating-phyllotaxy
Poster,P100,./generated_poster_list.html#p100-making-good-connections-how-transverse-veins-span-the-maize-leaf-vascular-network
Poster,P101,./generated_poster_list.html#p101-nuclear-membrane-proteins-and-their-functions-beyond-the-nuclear-membrane
Poster,P102,./generated_poster_list.html#p102-peg-mediated-transient-gene-expression-in-maize-root-protoplast
Poster,P103,./generated_poster_list.html#p103-parallel-spindle-genes-restore-haploid-male-fertility-–-removing-a-bottleneck-in-doubled-haploid-technology
Poster,P104,./generated_poster_list.html#p104-phytoextraction-potential-of-quinoa-and-wheat-grown-under-saline-conditions-as-a-measure-for-adaptation-to-salt-stress
Poster,P105,./generated_poster_list.html#p105-plant-regeneration-using-morphogenic-regulators
Poster,P106,./generated_poster_list.html#p106-regulation-of-maize-ear-development-by-a-clavata-related-receptor-complex
Poster,P107,./generated_poster_list.html#p107-regulation-of-meristem-size-by-the-rel2corepressor-family
Poster,P108,./generated_poster_list.html#p108-single-cell-rnaseq-analysis-and-dynamic-modeling-of-leaf-angle-variation-in-the-maize-leaf-canopy
Poster,P109,./generated_poster_list.html#p109-the-maize-preligule-band-is-subdivided-into-distinct-domains-with-contrasting-cellular-properties-prior-to-ligule-outgrowth
Poster,P110,./generated_poster_list.html#p110-the-wisconsin-crop-innovation-center-a-public-resource-for-maize-transformation-and-gene-editing-research
Poster,P111,./generated_poster_list.html#p111-the-boron-deficiency-response-during-primary-root-development-of-maize
Poster,P112,./generated_poster_list.html#p112-the-cis-regulatory-evolution-of-grassy-tillers1-gt1-over-deep-time
Poster,P113,./generated_poster_list.html#p113-the-flowering-phenotypes-of-temperate-and-tropical-maize-grown-in-short-and-long-day-field-environments
Poster,P114,./generated_poster_list.html#p114-the-genetic-basis-of-callus-development-and-resources-for-genetic-transformation-of-maize
Poster,P115,./generated_poster_list.html#p115-the-heterofertilization-and-kernel-abortion-phenotypes-in-maize-gex2-mutants-are-consistent-with-differential-fertilization-recovery-of-egg-and-central-cells
Poster,P116,./generated_poster_list.html#p116-the-maize-fusedleaf1-mutant
Poster,P117,./generated_poster_list.html#p117-the-role-of-the-plant-growth-hormones-auxin-and-cytokinin-in-maize-mutants-lsn1-and-hsf1
Poster,P118,./generated_poster_list.html#p118-tracking-s-phase-progression-sequential-dual-labeling-of-replicated-dna-with-edu-and-brdu-in-maize-root-tips
Poster,P119,"./generated_poster_list.html#p119-tradeoffs,-balance-and-drift-the-genetics-of-paralogous-compensation-in-the-maize-meristem"
Poster,P120,./generated_poster_list.html#p120-transcriptomic-profiles-of-developing-meristems-across-sorghum-accessions-reveal-nuanced-regulatory-pathways-towards-panicle-morphology
Poster,P121,./generated_poster_list.html#p121-uncovering-the-infection-strategy-of-phyllachora-maydis-during-�maize-colonization-a-comprehensive-analysis
Poster,P122,./generated_poster_list.html#p122-understanding-leaf-vascular-density-through-quantitative-genetics-and-high-throughput-phenotyping
Poster,P123,./generated_poster_list.html#p123-unravelling-the-role-of-liguleless2-in-maize
Poster,P124,./generated_poster_list.html#p124-vasculature-connection-in-maize-“twin-grafts”
Poster,P125,"./generated_poster_list.html#p125-whetstone1-wts1,-a-single-dominant-locus-from-the-w22-background-suppresses-wavy-auricle-in-blade2-wab2"
Poster,P126,./generated_poster_list.html#p126-wavy-auricle-in-blade2-wab2-overexpresses-tcptf15-and-is-suppressed-by-one-copy-of-wavy-auricle-in-blade1-wab1-loss-of-function
Poster,P127,./generated_poster_list.html#p127-zmcand1-is-hyposensitive-to-auxin-treatment-and-controls-maize-growth-and-development
Poster,P128,./generated_poster_list.html#p128-zmpils6-is-an-auxin-efflux-carrier-required-for-maize-morphogenesis
Poster,P129,./generated_poster_list.html#p129-tasseless5-tls5-affects-plant-height-and-reproductive-development-in-maize-by-regulating-internode-elongation-and-tassel-emergence
Poster,P130,./generated_poster_list.html#p130-a-developmental-series-transcriptomic-study-of-nitrogen-related-heterosis
Poster,P131,./generated_poster_list.html#p131-a-multi-omics-integrative-network-map-of-maize
Poster,P132,./generated_poster_list.html#p132-a-multi-organ-maize-metabolic-model-connects-temperature-stress-with-energy-production-and-reducing-power-generation
Poster,P133,"./generated_poster_list.html#p133-a-unified-vcf-dataset-from-1,500-diverse-maize-accessions-and-resources-to-explore-the-genomic-landscape-of-maize"
Poster,P134,./generated_poster_list.html#p134-advancing-maize-phenotyping-through-automation-and-data-analysis
Poster,P135,./generated_poster_list.html#p135-are-the-non-coding-regions-really-non-coding?-large-scale-identification-of-orphan-genes-from-b73-v5-genome
Poster,P136,./generated_poster_list.html#p136-bridgecereal-webapp-for-survey-and-graph-indel-based-haplotypes-from-pan-genomes
Poster,P137,./generated_poster_list.html#p137-benchmarking-across-species-rna-expression-prediction-within-maize-and-its-wild-relatives
Poster,P138,./generated_poster_list.html#p138-breeders'-genomic-hub-integrating-analysis-tools-with-data
Poster,P139,./generated_poster_list.html#p139-brobot-&-roottagginggui-an-image-acquisition-and-processing-pipeline-for-high-volume-phenotyping
Poster,P140,./generated_poster_list.html#p140-chromatin-structure-and-particle-mapping-in-maize-root-tip-nuclei-using-mnase-digestion-assays
Poster,P141,./generated_poster_list.html#p141-chromosome-level-assembly-and-comprehensive-annotation-of-the-w22-and-ph207-maize-inbreds
Poster,P142,./generated_poster_list.html#p142-comparison-of-rrna-depletion-methods-in-maize
Poster,P143,./generated_poster_list.html#p143-coupling-ecophysiology-and-genetics-in-a-digital-environment-for-modeling-crop-adaptation
Poster,P144,./generated_poster_list.html#p144-earvisionv2-detects-spatial-effects-of-pollen-mutations-on-kernel-distribution-across-the-maize-ear
